sasi_stock_num,stock_name,active_ind,create_wdfwemp_id,modify_wdfwemp_id,gsro_stock_name,stock_id,geographic_area_lut_id,gdu_lut_id,mal_lut_id,esa_unit_lut_id,mpg_lut_id,sasi_run_lut_id,origin_lut_id,predominant_production_type_lut_id,distinct_genetics_lut_id,harvest_mgmt_unit_lut_id,parent_stock_id,create_dt,modify_dt,bt_core_area_lut_id,species_lut_id,nosa_popid,nosa_common_pop_name,nosa_esu_dps_name,nosa_esa_pop_name,nosa_escapement_timing_lut_id,sasi_common_name,run,stock,species,facility_name
6805,Wind River (Upper Gorge) Summer Steelhead,1,135641,20044176,Wind River - summer Steelhead,1B9CE877-D81F-43D7-9911-BD1768B6F924,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,DC0AB216-23B5-4526-9123-2F28780B959C,6C0575CC-8F31-4DCA-BA61-0FC28C2118BA,6B4F14ED-6D0B-4632-AFAA-E921E07A5EE2,BE1CDE03-6369-4D73-8CCB-2165F79B4FCD,C4F0DC31-A5FC-44B3-9864-A00350BCE57C,508FEA01-ECEB-449C-B527-89163CB00A69,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,02D968FD-AF42-4A06-936C-8FD2E6AAF396,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,5/25/2006 13:33,8/30/2018 16:42,AB097B02-C545-4164-A2F5-102A712004DC,0F71A285-6089-4C6D-B461-D69A652C9F70,314,Wind River (Upper Gorge) Summer Steelhead,Steelhead (Lower Columbia River DPS),Steelhead (Lower Columbia River DPS) Wind River - summer,F658A24B-E7DB-40A7-AEF8-F5CABD5552D7,Steelhead,summer,wind river upper gorge ,steelhead,wind river upper gorge 
6763,East Fork Lewis Summer Steelhead,1,135641,20044176,East Fork Lewis River - summer Steelhead,81AF1B56-338D-401A-A7FA-BFE19A3BD6AA,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,DC0AB216-23B5-4526-9123-2F28780B959C,94F63781-75A9-49A8-B42C-EC70478B46C5,6B4F14ED-6D0B-4632-AFAA-E921E07A5EE2,43D02039-CF59-435A-8AD4-8F079A49E8CF,C4F0DC31-A5FC-44B3-9864-A00350BCE57C,508FEA01-ECEB-449C-B527-89163CB00A69,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,02D968FD-AF42-4A06-936C-8FD2E6AAF396,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,5/25/2006 13:33,8/30/2018 16:42,AB097B02-C545-4164-A2F5-102A712004DC,0F71A285-6089-4C6D-B461-D69A652C9F70,295,East Fork Lewis Summer Steelhead,Steelhead (Lower Columbia River DPS),Steelhead (Lower Columbia River DPS) East Fork Lewis River - summer,F658A24B-E7DB-40A7-AEF8-F5CABD5552D7,Steelhead,summer,east fork lewis,steelhead,east fork lewis
6784,Washougal Summer Steelhead,1,135641,20044176,Washougal River - summer Steelhead,6FCF7465-1528-4B65-B71B-1F1A1D6C0DEA,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,DC0AB216-23B5-4526-9123-2F28780B959C,94F63781-75A9-49A8-B42C-EC70478B46C5,6B4F14ED-6D0B-4632-AFAA-E921E07A5EE2,43D02039-CF59-435A-8AD4-8F079A49E8CF,C4F0DC31-A5FC-44B3-9864-A00350BCE57C,508FEA01-ECEB-449C-B527-89163CB00A69,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,02D968FD-AF42-4A06-936C-8FD2E6AAF396,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,5/25/2006 13:33,8/30/2018 16:42,AB097B02-C545-4164-A2F5-102A712004DC,0F71A285-6089-4C6D-B461-D69A652C9F70,308,Washougal Summer Steelhead,Steelhead (Lower Columbia River DPS),Steelhead (Lower Columbia River DPS) Washougal River - summer,F658A24B-E7DB-40A7-AEF8-F5CABD5552D7,Steelhead,summer,washougal,steelhead,washougal
6830,Klickitat Summer and Winter Steelhead,1,509786,20044176,Klickitat River - summer and winter Steelhead,8F70CBD0-2849-416E-852A-307F4F6D16D4,B6C50DF3-BA5A-46BF-954B-5ABAC5A55684,72CC7990-5EDF-4294-93FC-C3A6F4A86AA8,6C0575CC-8F31-4DCA-BA61-0FC28C2118BA,CC37DFE3-753E-4134-AE7D-CF5E7AB34135,FC0F1FBA-5B0D-4627-9374-A5873FE69536,00EE0F62-BD68-4BF1-9B97-5C778056B616,508FEA01-ECEB-449C-B527-89163CB00A69,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,02D968FD-AF42-4A06-936C-8FD2E6AAF396,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,7/23/2014,8/30/2018 16:42,AB097B02-C545-4164-A2F5-102A712004DC,0F71A285-6089-4C6D-B461-D69A652C9F70,61,Klickitat River - summer and winter Steelhead,Steelhead (Middle Columbia River DPS),Steelhead (Middle Columbia River DPS) Klickitat River - summer and winter,NA,Steelhead,summer winter,klickitat river summer and winter ,steelhead,klickitat river summer and winter 
6658,Grays-Chinook Winter Steelhead,1,135641,20044176,NA,F3E9B17B-42E4-48F0-8D0C-D8CAAEEA347A,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,573A57A7-6112-4708-832B-9D8C0B1E5641,94F63781-75A9-49A8-B42C-EC70478B46C5,FD372667-B201-49C0-BB3E-C04EB8B4810C,15C38645-0492-4D66-8398-B553E73957BB,8412C3F4-40AE-4A89-9605-E478CEED6D8F,508FEA01-ECEB-449C-B527-89163CB00A69,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,02D968FD-AF42-4A06-936C-8FD2E6AAF396,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,5/25/2006 13:33,8/30/2018 16:42,AB097B02-C545-4164-A2F5-102A712004DC,0F71A285-6089-4C6D-B461-D69A652C9F70,532,Grays River Winter Steelhead,,Steelhead (Southwest Washington DPS) Grays and Chinook Rivers - winter,NA,Steelhead,winter,grays river,steelhead,grays river
6682,Mill-Abernathy-Germany Creeks Winter Steelhead,1,135641,20044176,NA,D3F0A747-3A1B-4423-99F6-D2EB5370D63E,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,573A57A7-6112-4708-832B-9D8C0B1E5641,94F63781-75A9-49A8-B42C-EC70478B46C5,FD372667-B201-49C0-BB3E-C04EB8B4810C,15C38645-0492-4D66-8398-B553E73957BB,8412C3F4-40AE-4A89-9605-E478CEED6D8F,508FEA01-ECEB-449C-B527-89163CB00A69,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,02D968FD-AF42-4A06-936C-8FD2E6AAF396,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,5/25/2006 13:33,8/30/2018 16:42,AB097B02-C545-4164-A2F5-102A712004DC,0F71A285-6089-4C6D-B461-D69A652C9F70,534,Mill Creek Winter Steelhead,,Steelhead (Southwest Washington DPS) Mill Creek - winter,NA,Steelhead,winter,mill creek,steelhead,mill creek
6668,Elochoman-Skamokawa Winter Steelhead,1,135641,20044176,NA,4EE81808-60BA-4090-B943-8FF861E976C6,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,573A57A7-6112-4708-832B-9D8C0B1E5641,94F63781-75A9-49A8-B42C-EC70478B46C5,FD372667-B201-49C0-BB3E-C04EB8B4810C,15C38645-0492-4D66-8398-B553E73957BB,8412C3F4-40AE-4A89-9605-E478CEED6D8F,508FEA01-ECEB-449C-B527-89163CB00A69,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,02D968FD-AF42-4A06-936C-8FD2E6AAF396,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,5/25/2006 13:33,8/30/2018 16:42,AB097B02-C545-4164-A2F5-102A712004DC,0F71A285-6089-4C6D-B461-D69A652C9F70,533,Elochoman Winter Steelhead,,Steelhead (Southwest Washington DPS) Elochoman River - winter,NA,Steelhead,winter,elochoman,steelhead,elochoman
1554,Cispus Spring Chinook,1,509786,NA,Cispus River - spring Chinook salmon,9C870EEC-DE52-46A7-A441-E8B643B9CFBE,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,8E8E9D86-EF39-4014-8EDC-5F52B48F04F4,C61955B0-7043-467C-ABE8-691AB8E3C5AD,AA6D7F13-F596-454F-88FF-568E85E9D1C9,645FC313-950F-4873-8049-86249DF2026D,55982D00-CB6F-4495-9E8F-C48C0E9D4696,F27529C5-8185-473C-962C-535F28CE8A96,6F0F28EA-4A16-4F94-B4F0-D664C217A7B0,A3B743AB-CB20-4AD0-ADE2-BCCE8D79D9E3,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,12/15/2020,NA,AB097B02-C545-4164-A2F5-102A712004DC,2F79A29B-BCA2-47F2-9212-956B51F14D12,212,Cispus River - spring Chinook salmon,"Salmon, Chinook (Lower Columbia River ESU)","Salmon, Chinook (Lower Columbia River ESU) Cispus River - spring",NA,Chinook salmon,spring,cispus river springsalmon,chinook,cispus river springsalmon
6703,Cispus Winter Steelhead,1,509786,509786,Cispus River - winter Steelhead,D62B3B45-ECFC-4F20-BF6C-EE75D166F2F0,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,DC0AB216-23B5-4526-9123-2F28780B959C,94F63781-75A9-49A8-B42C-EC70478B46C5,6B4F14ED-6D0B-4632-AFAA-E921E07A5EE2,E4AB14FA-1E2C-4485-93EF-E9C637067114,8412C3F4-40AE-4A89-9605-E478CEED6D8F,F27529C5-8185-473C-962C-535F28CE8A96,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,02D968FD-AF42-4A06-936C-8FD2E6AAF396,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,9/6/2012,11/30/2020,AB097B02-C545-4164-A2F5-102A712004DC,0F71A285-6089-4C6D-B461-D69A652C9F70,293,Cispus River - winter Steelhead,Steelhead (Lower Columbia River DPS),Steelhead (Lower Columbia River DPS) Cispus River - winter,NA,Steelhead,winter,cispus river winter ,steelhead,cispus river winter 
2753,Kalama Fall Chum,1,509786,20044176,Kalama River - fall Chum salmon,C033E045-ACB8-4D9A-A51C-C6E0B4250EB7,A4A8B5E9-0AEE-4DDA-95B5-1218750383F1,7D0D08B3-7383-4CE0-B053-EBAE1C2D4DF9,F219AF28-BB4C-463A-AD55-B73CA336BBC3,2AEA701A-3DB5-4ECB-A50B-F113DB227BCC,AF07C179-9AA5-4645-9992-BDA6C9132261,92E66CFB-23B4-4768-A490-AC357F4BCE37,508FEA01-ECEB-449C-B527-89163CB00A69,64C1EA43-5805-4A33-A6BC-93B6E3F040CA,A3B743AB-CB20-4AD0-ADE2-BCCE8D79D9E3,30B020B9-9148-404B-AA23-375BD6C76A9E,NA,5/29/2012,8/30/2018 16:42,AB097B02-C545-4164-A2F5-102A712004DC,33A35D8C-7776-4AF6-A8A2-2860E7E3EED5,253,Kalama River - fall Chum salmon,"Salmon, chum (Columbia River ESU)","Salmon, chum (Columbia River ESU) Kalama River - fall",NA,Chum salmon,fall,kalama river fallsalmon,chum,kalama river fallsalmon
