"esa_pop_name","commonpopname","min_yr_NOSA","max_yr_NOSA","min_yr_TSA","max_yr_TSA","min_yr_pHOS","max_yr_pHOS"
"Steelhead (Lower Columbia River DPS) East Fork Lewis River - summer","East Fork Lewis Summer Steelhead","1996","2022",NA,NA,NA,NA
"Steelhead (Lower Columbia River DPS) East Fork Lewis River - winter","East Fork Lewis Winter Steelhead",NA,NA,"1986","2022",NA,NA
"Steelhead (Lower Columbia River DPS) Kalama River - summer","Kalama Summer Steelhead","1977","2022","1977","2022","1999","2022"
"Steelhead (Lower Columbia River DPS) Kalama River - winter","Kalama Winter Steelhead",NA,NA,"1977","2022","2007","2022"
"Steelhead (Lower Columbia River DPS) Lower Cowlitz River - winter","Lower Cowlitz Winter Steelhead","2013","2021","2013","2021","2013","2021"
"Steelhead (Lower Columbia River DPS) North Fork Toutle River - winter","North Fork Toutle Winter Steelhead",NA,NA,"1985","2022",NA,NA
"Steelhead (Lower Columbia River DPS) South Fork Toutle River - winter","South Fork Toutle Winter Steelhead",NA,NA,"1981","2022",NA,NA
"Steelhead (Lower Columbia River DPS) Tilton River - winter","Tilton Winter Steelhead","1999","2020","1999","2020","2010","2020"
"Steelhead (Lower Columbia River DPS) Upper Cowlitz River - winter","Upper Cowlitz and Cispus Winter Steelhead","1997","2020","1997","2020","2012","2020"
"Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter","Upper Gorge (Columbia) Winter Steelhead",NA,NA,"2000","2021","2018","2023"
"Steelhead (Lower Columbia River DPS) Washougal River - summer","Washougal Summer Steelhead","1986","2022","1953","1973",NA,NA
"Steelhead (Lower Columbia River DPS) Washougal River - winter","Washougal Winter Steelhead",NA,NA,"1991","2022",NA,NA
"Steelhead (Lower Columbia River DPS) Wind River - summer","Wind River (Upper Gorge) Summer Steelhead","1989","2023","2000","2023","2000","2023"
"Steelhead (Southwest Washington DPS) Elochoman River - winter","Elochoman Winter Steelhead",NA,NA,"1992","2021",NA,NA
"Steelhead (Southwest Washington DPS) Grays and Chinook Rivers - winter","Grays River Winter Steelhead",NA,NA,"1989","2021","2008","2023"
"Steelhead (Southwest Washington DPS) Mill Creek - winter","Mill Creek Winter Steelhead",NA,NA,"2005","2021",NA,NA
