"esu_dps_name","esa_pop_name","popid","commonpopname","spawningyear","popfit","popfitnotes","tsaej","nosaej","phosej","nosaij","tsaij","phosij"
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2010","Same",NA,"4176","3799","0.088",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2011","Same",NA,"3492","3311","0.047",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2012","Same",NA,"3354","3200","0.039",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2013","Same",NA,"4265","3693","0.127",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2014","Same",NA,"8211","6876","0.161",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2015","Same",NA,"1533","1238","0.185",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2016","Same",NA,"3574","2988","0.152",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2017","Same",NA,"2702","2349","0.108",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2018","Same",NA,"3582","2518","0.253",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2019","Same",NA,"4755","3501","0.254",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2020","Same",NA,"5221","4362","0.151",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2021","Same",NA,"5746","4541","0.203",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2022","Same",NA,"4793","4311","0.091",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2010","Same",NA,"3037","858","0.717",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2011","Same",NA,"1502","605","0.592",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2012","Same",NA,"665","477","0.269",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2013","Same",NA,"1267","768","0.388",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2014","Same",NA,"4801","3079","0.357",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2015","Same",NA,"520","328","0.363",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2016","Same",NA,"1157","754","0.342",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2017","Same",NA,"1235","896","0.246",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2018","Same",NA,"1861","1076","0.404",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2019","Same",NA,"2658","1664","0.362",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2020","Same",NA,"2237","1725","0.207",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2021","Same",NA,"2688","1450","0.459",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2022","Same",NA,"953","756","0.183",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2010","Same",NA,"2287","1952","0.079",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2011","Same",NA,"1457","1320","0.054",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2012","Same",NA,"1534","1421","0.051",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2013","Same",NA,"1810","1749","0.023",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2014","Same",NA,"4741","4627","0.016",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2015","Same",NA,"998","953","0.025",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2016","Same",NA,"2175","2017","0.044",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2017","Same",NA,"1910","1660","0.100",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2018","Same",NA,"1971","1733","0.106",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2019","Same",NA,"2947","2612","0.094",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2020","Same",NA,"3140","2808","0.088",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2021","Same",NA,"3043","2915","0.030",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Salmon Creek - late","275","Salmon Creek Coho","2022","Same",NA,"3074","2938","0.021",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2010","Same",NA,"1692","75","0.956",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2011","Same",NA,"457","46","0.903",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2012","Same",NA,"308","47","0.847",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2013","Same",NA,"406","59","0.859",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2014","Same",NA,"1481","150","0.900",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2015","Same",NA,"259","31","0.880",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2016","Same",NA,"210","74","0.644",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2017","Same",NA,"159","64","0.588",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2018","Same",NA,"222","79","0.642",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2019","Same",NA,"304","143","0.510",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2020","Same",NA,"940","245","0.733",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2021","Same",NA,"1057","253","0.754",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Kalama River - late","271","Kalama Coho","2022","Same",NA,"691","268","0.606",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Washougal River - late","280","Washougal Coho","2010","Same",NA,"1012","597","0.402",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Washougal River - late","280","Washougal Coho","2011","Same",NA,"454","399","0.104",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Washougal River - late","280","Washougal Coho","2012","Same",NA,"448","386","0.121",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Washougal River - late","280","Washougal Coho","2013","Same",NA,"648","423","0.336",NA,NA,NA
