"esa_pop_name","commonpopname","min_yr_NOSA","max_yr_NOSA","min_yr_TSA","max_yr_TSA","min_yr_pHOS","max_yr_pHOS"
"Salmon, coho (Lower Columbia River ESU) Upper Cowlitz River - early and late","Upper Cowlitz and Cispus Coho","1996","2023","1996","2023","1996","2023"
"Salmon, coho (Lower Columbia River ESU) Washington Upper Gorge Tributaries and White Salmon River - late","Upper Gorge (Columbia) Coho","2007","2021","2007","2021","2007","2021"
"Salmon, coho (Lower Columbia River ESU) Washougal River - late","Washougal Coho","2010","2023","2010","2023","2010","2023"
"Steelhead (Lower Columbia River DPS) Cispus River - winter",NA,NA,NA,NA,NA,NA,NA
"Steelhead (Lower Columbia River DPS) Coweeman River - winter","Coweeman Winter Steelhead",NA,NA,"1987","2024","2011","2023"
"Steelhead (Lower Columbia River DPS) East Fork Lewis River - summer","East Fork Lewis Summer Steelhead","1996","2022",NA,NA,"1996","2023"
"Steelhead (Lower Columbia River DPS) East Fork Lewis River - winter","East Fork Lewis Winter Steelhead","2024","2024","1986","2024","2007","2023"
"Steelhead (Lower Columbia River DPS) Kalama River - summer","Kalama Summer Steelhead","1977","2024","1977","2024","1999","2024"
"Steelhead (Lower Columbia River DPS) Kalama River - winter","Kalama Winter Steelhead","2007","2024","1977","2024","2007","2024"
"Steelhead (Lower Columbia River DPS) Lower Cowlitz River - winter","Lower Cowlitz Winter Steelhead","2013","2022","2013","2022","2013","2022"
"Steelhead (Lower Columbia River DPS) Lower Gorge Tributaries - winter","Lower Gorge (Columbia) Winter Steelhead",NA,NA,"2013","2024","2013","2023"
"Steelhead (Lower Columbia River DPS) North Fork Lewis River - summer",NA,NA,NA,NA,NA,NA,NA
"Steelhead (Lower Columbia River DPS) North Fork Lewis River - winter",NA,NA,NA,NA,NA,NA,NA
"Steelhead (Lower Columbia River DPS) North Fork Toutle River - winter","North Fork Toutle Winter Steelhead",NA,NA,"1985","2022","2007","2022"
"Steelhead (Lower Columbia River DPS) Salmon Creek - winter",NA,NA,NA,NA,NA,NA,NA
"Steelhead (Lower Columbia River DPS) South Fork Toutle River - winter","South Fork Toutle Winter Steelhead",NA,NA,"1981","2024","2010","2023"
"Steelhead (Lower Columbia River DPS) Tilton River - winter","Tilton Winter Steelhead","1999","2023","1999","2023","2010","2023"
"Steelhead (Lower Columbia River DPS) Upper Cowlitz River - winter","Upper Cowlitz and Cispus Winter Steelhead","1997","2023","1997","2023","2012","2023"
"Steelhead (Lower Columbia River DPS) Upper Gorge Tributaries - winter","Upper Gorge (Columbia) Winter Steelhead","2000","2023","2000","2023","2000","2023"
"Steelhead (Lower Columbia River DPS) Washougal River - summer","Washougal Summer Steelhead","1986","2022","1953","2013","1999","2023"
"Steelhead (Lower Columbia River DPS) Washougal River - winter","Washougal Winter Steelhead",NA,NA,"1991","2024","2007","2023"
"Steelhead (Lower Columbia River DPS) Wind River - summer","Wind River (Upper Gorge) Summer Steelhead","1989","2023","2000","2023","2000","2023"
"Steelhead (Middle Columbia River DPS) Klickitat River - summer and winter",NA,NA,NA,NA,NA,NA,NA
"Steelhead (Southwest Washington DPS) Elochoman River - winter","Elochoman Winter Steelhead",NA,NA,"1992","2024","2012","2023"
"Steelhead (Southwest Washington DPS) Grays and Chinook Rivers - winter","Grays River Winter Steelhead",NA,NA,"1989","2024","2008","2023"
"Steelhead (Southwest Washington DPS) Mill Creek - winter","Mill Creek Winter Steelhead",NA,NA,"2005","2021","2007","2023"
